,tweet_id_str,date_time,location,tweet_text
89,1542036138726084608,2022-06-29 06:43:59+00:00,,"president xi china chooses path herd lying flat nothing , would unthinkable consequences. dynamic zero policy fits china special condition. remain committed policy even expense economic growth."
90,1542035054498414592,2022-06-29 06:39:41+00:00,Shanghai HongKong,"zero policy economic effective way #china. choose herd lying flat , based china ' mass population , consequences would ghastly contemplate , xi jinping stressed visit wuhan , hubei. xinhua"
91,1542030563431055360,2022-06-29 06:21:50+00:00,,need stop considering vaccines almost fuck reduce transmission emerging variants provide semblance herd immunity.
92,1542025895736664064,2022-06-29 06:03:17+00:00,,"well certainly working ! #50swomen pension , letter , notice. believed austerity ploy. bit. saw thought us , #brexitlies cash honours , ppe , #torycronyism , herd , #partygate"
93,1542021931024752641,2022-06-29 05:47:32+00:00,Sverige,celebrating two years swedish herd ' late phase '
94,1541940922379894784,2022-06-29 00:25:38+00:00,,vaccines cannot catch rapidly mutating coronavirus. good news ' worry anymore become mild attenuated illness. probably natural herd anyways.
95,1541925263855915008,2022-06-28 23:23:25+00:00,Deep inside the forest....,"sharing big laughs bonding deliberately infecting citizens #covid19 allegedly herd hybrid immunity. really causing endless mass harm , disability , suffering deaths."
96,1541922258691710977,2022-06-28 23:11:28+00:00,,warning times people get reinfected likely get unlucky develop long independent. really ? ' say ... thought wrong ' you. believed herd . fauci say 70
97,1541898030965837824,2022-06-28 21:35:12+00:00,,would thought herd
98,1541868971456139266,2022-06-28 19:39:43+00:00,,"follow uk strategy nothing letter , look going. uk spin rubbed , people seeing herd debacle politics privilege pretending public health. #auspol"
99,1541854236824113152,2022-06-28 18:41:10+00:00,Vancouver,atlas report trump ' plan dealing covid. fact many would die part plan. still support ?
100,1541852413577019393,2022-06-28 18:33:56+00:00,NYC - Boston - Chicago - SF,new congressional report unpacks trump picked advisor turned cdc testing guidance mess.
101,1541849415333433344,2022-06-28 18:22:01+00:00,"Ontario, Canada",pride month 2022 leaders public health officials blaming homosexual intercourse two men fueling growing monkey pox ... instead herd test warned would destroy people ' immune systems .. organs .. savages ..
102,1541826523820335104,2022-06-28 16:51:03+00:00,,"going interesting. inquiry government response pandemic. parties , ppe contracts , herd , care homes more. good. #bbcpm #r4today"
103,1541820343685451778,2022-06-28 16:26:30+00:00,,"johnson dragged , kicking screaming know why. herd politically motivated , death dealing , delays lockdown."
104,1541815647411154950,2022-06-28 16:07:50+00:00,"Austin, Texas & Boston, MA",one reasons might never get much discussed herd role superantigens. ' thinking ' like flu ' might behave like rabies ...
105,1541812313157779456,2022-06-28 15:54:35+00:00,Frostbite Falls,"atlas dogma trump administration embrace dangerous discredited herd mass infection strategy , available full reveals following key findings #covidisairborne"
106,1541811671466971142,2022-06-28 15:52:02+00:00,,anyone remember ? back vengeance independent. johnson government caused this. herd plan caused lot pain suffering ..
107,1541811080892223488,2022-06-28 15:49:41+00:00,"North East, England","' interesting hearing schwab shrieking sceptics complain trans ideology. yes , ' dishonest ! idea boris ' pursue herd , always planned , also dishonest. ' massive lie lunatic zealots shriek planes ."
108,1541795980466692096,2022-06-28 14:49:41+00:00,Texas,trump went herd immunity. maybe citizens consulted ? herd work well. task force members worried ' misinformation ' shared trump
109,1541782453924179968,2022-06-28 13:55:56+00:00,Briland or LA,... #becausescience natural herd another prank.
110,1541782399813656576,2022-06-28 13:55:43+00:00,"Washington, D.C. ",evidence obtained shows trump admin weakened cdc #covid19 guidance embraced herd mass infection vaccines blocked scientists speaking neglected response focus big lie
111,1541777839124512768,2022-06-28 13:37:36+00:00,Plague Island ,no10 dismisses damage children unethical herd policy caused. public informed reinfections mild causing chronic illness?? ?
112,1541772389767434244,2022-06-28 13:15:57+00:00,"Nairobi, Kenya",two doctors different opinion matter e.g. different countries took different stances herd verses pro vaccine address 19. need acknowledge medicine exact science . #pandemicresilience #infodemic
113,1541760905805008897,2022-06-28 12:30:19+00:00,"District of Columbia, USA",mean ' vaccinate way herd exit ?
114,1541757656586752000,2022-06-28 12:17:24+00:00,#plagueisland☣,"says man ' squeak 200,000 people dying early advising fascust tory govt herd way deal. says man whose party employers voted measures stop shit pumped water."
115,1541749165218471936,2022-06-28 11:43:39+00:00,,"#greatbarringtondeclaration ' natural herd ' ' #donothing ' dr.ian wilson , molecular structural biologist. globally 60 7 billion people 4.2 billion cases covid. 1 4.2b 42million deaths 0.5 4.2 billion cases 21million deaths #auspol"
116,1541735190711730177,2022-06-28 10:48:08+00:00,Devon UK,living herd immunity.
117,1541725372617719809,2022-06-28 10:09:07+00:00,Europe,"#covid19 ah yes , herd"
118,1541710587951988738,2022-06-28 09:10:22+00:00,"North East, England","slater says reason brave heroes ' talk herd jan 4 employers ' want to. , brave heroes kept heads pretended freedom fighters paid cover truth. brave heroes ."
119,1541706931189997568,2022-06-28 08:55:50+00:00,"Hemel Hempstead, England",sometimes way explaining science use simulation. using counters make believe cells show infection move population like plague covid. model also shows herd works. #iteachbiology
120,1541704213855617026,2022-06-28 08:45:02+00:00,Africa,#nigeria still long way achieving herd #covid19
121,1541699963872317441,2022-06-28 08:28:09+00:00,Plague Island,"says herd possible , starmer yet uk infecting children exist. know organ damage #longcovid exist. speak safe schools."
122,1541672929670594560,2022-06-28 06:40:43+00:00,"Tatungaloong,  GurnaiKunai","sensible people stopped masks , distancing , socialising outdoors etc. thing , herd people reinfecting provide immunity. getting , esp x gt 1 , indicates serious long term health risks."
123,1541626024139624450,2022-06-28 03:34:20+00:00,NYC,reminder biden campaigned full measures stop spread elected instead dropped almost prevention measures went continuing trump ' herd plan let everyone catch it. mass #longcovid gonna bitch
124,1541618571566014464,2022-06-28 03:04:44+00:00,,"back spring 2020 many people said everyone get get could get back normal. example , laurence tribe."
125,1541609351319781378,2022-06-28 02:28:05+00:00,"Chicago, IL","#mass infection based #herd fraud ! #japan , oldest population world 29 percent japanese 65 , example fact. sources"
126,1541606032769687554,2022-06-28 02:14:54+00:00,,"come home nft nyc gift ? well , poap ! caught , add dm wallet address ' send poap remember , nft conferences ' achieve herd ! wagmi !"
127,1541599141188743169,2022-06-28 01:47:31+00:00,Domicron Central ,"watched catherine bennett abc. amount backtracking , apparently cautious unknown now. really unknown cat ? happened herd ? mild deaths long numbers seem rattling minimisers. retreat !"
128,1541590897518944262,2022-06-28 01:14:45+00:00,"St Louis, MO",stay home evil anti vaxxers herd ! also vaccine love story 4 parts.
129,1541590586653802497,2022-06-28 01:13:31+00:00,"Québec, Canada","situation sweden , birthplace herd , seems catastrophic. somewhat exploded myth scandinavian model hailed pseudo left progressives types."
130,1541590299889532928,2022-06-28 01:12:23+00:00,"Melbourne, Victoria","herd theory well truly squashed now. evidence herd exists all. many people two three times past twelve months , episode worse last generally."
131,1541582448714305537,2022-06-28 00:41:11+00:00,,dangerous herd ? wrong. would gone herd route treated sick people hcq ivermectin would saved 85 people died cdc treatments dangerous deadly vaxxines. clueless dude.
132,1541565583380152321,2022-06-27 23:34:10+00:00,Concrete Jungle,maybe nft ny actually attempt herd
133,1541564990187900929,2022-06-27 23:31:49+00:00,Around the 30th.,"rips herd sweden , causing havoc people across sectors society fall ill. maybe could look repeat mistake ?"
134,1541563355911323648,2022-06-27 23:25:19+00:00,Back of the sock drawer.,"realise comes , abandoned ? none trumpeted herd . fodder fed maw eternally ravenous economy ."
135,1541558514396667907,2022-06-27 23:06:05+00:00,,"individuals communicating white house believed infected enough people would herd immunity. evidence fact , evidence contrary. read"
136,1541555657241165825,2022-06-27 22:54:44+00:00,New Zealand,"herd works diseases measles , polio. work covid. disease 19 herd , lockdowns 19"
137,1541545977601032192,2022-06-27 22:16:16+00:00,Classified,trump administration corona virus herd strategy.
138,1541544136054116353,2022-06-27 22:08:57+00:00,,"fits deniers perfectly. gov ' ts big companies want let rip . even though ' known herd ' work virus. veil getting thinner yet , covidiots ' see it. worse , actually impede others seeing well."
139,1541532050754109440,2022-06-27 21:20:55+00:00,"Washington, USA","republicans wanted everyone get herd . 19 increases risk alzheimer , parkinson stroke , study finds"
140,1541511413818167302,2022-06-27 19:58:55+00:00,,"boosters needed september cases continue rise , government vaccines expert warned. want herd immunity. herd work variants escape ! end , must reduce cases well. false dichotomy ?"
141,1541509483607769089,2022-06-27 19:51:15+00:00,"Schuylkill County, PA",click staff report text actual report.
142,1541500205488607234,2022-06-27 19:14:23+00:00,,guess ' never know natural herd outlawing shirt sales seemingly brought us tail end .
143,1541493130721107971,2022-06-27 18:46:16+00:00,"“South”New Jersey, USA","gay brother hiv , seriously sick 7 months , hired guy drive , bible beating , magat , twice , believes everyone fine due herd cold !"
144,1541488196143529987,2022-06-27 18:26:40+00:00,Cambridge UK,"yet uk govt pushing herd cost hundreds thousands deaths millions long even publishing numbers ditched masks. want kill us , dumb us keep us line , whilst profiting us.#fascism #gtto"
145,1541473735382691840,2022-06-27 17:29:12+00:00,Silicon Valley,"one million dead , partly thanks clown. hiring wrong medical expert derailed us response ars technica"
146,1541458103287382016,2022-06-27 16:27:05+00:00,De Montfort University,"guess surge puts notion herd bed. omicron confer much omicron. heading back 3,000,000 symptomatic cases. knows peak ? nhs ready summer."
147,1541457998266175490,2022-06-27 16:26:40+00:00,,"annals incompetent leadership trump white house ' hiring scott atlas , neuroradiologist infectious disease experience ersatz guru , expected results"
148,1541440597847932931,2022-06-27 15:17:31+00:00,"Austin, Texas",gm. save money vax shot. come nft nyc get herd .
149,1541440284038397955,2022-06-27 15:16:16+00:00,Namibia,"even people never heard herd 19 , busy advocating herd within vaccinated community. apparently herd happen unvaccinated people. bottom line , 19 scam."
150,1541439133494788097,2022-06-27 15:11:42+00:00,,"herd depends hidden assumptions. 1st , resistant people stay resistant. 2nd , resistant vaccinated people cannot transmit virus. scientists learned past 2 years assumptions hold 19"
151,1541438546652893186,2022-06-27 15:09:22+00:00,"North East, England",probably delivery driving rest life one honest enough discuss union driven herd capitulation march 2020 neu mutiny led spin jan 4 2021. need lessons making sacrifices.
152,1541422930466308097,2022-06-27 14:07:19+00:00,midlands,meanwhile uk herd ! alarm beijing announcement zero policy may last five years china guardian
153,1541408072136118272,2022-06-27 13:08:17+00:00,"Manchester, England","like , current infections surpassed first omicron wave. herd supposed end , instead .."
154,1541383148092669958,2022-06-27 11:29:14+00:00,,"herd gt 2 people family 3x calendar year , ' twice ."
155,1541353484238426113,2022-06-27 09:31:22+00:00,"London, England","studies real life patients ! show organ damage , brain dysfunction chronic health issues post #covid , even healthy people children. herd looks unlikely , reinfections hospitalisations rising. mutations. plan , exactly ? #covid19 #longcovid"
156,1541343680216326144,2022-06-27 08:52:24+00:00,"New Mexico, USA","may one day die one thing damn sure. dying random , hideous side effect vaccine ! bring injected w foreign substance un take things went south ! herd ! regrets !"
157,1541322873763160064,2022-06-27 07:29:44+00:00,UK,"husband again. plague locusts herd ideologues agitated two half years let thing rip , everyone ' cost. thing. consequences long term morbidity millions ."
158,1541295628810174466,2022-06-27 05:41:28+00:00,Nairobi,"achieved herd ? 19 like moving target even one vaccinated , long lasting prof julius oyugi #yourworld"
159,1541239296119582720,2022-06-27 01:57:37+00:00,WA ,"itspeaks4itself common sense reigns god science prevails educated man ! idiots failed mankind 19 ! scientists , #fauci tx #govts #physicians herd hindered goal 2 heal"
160,1541234247876620288,2022-06-27 01:37:34+00:00,,"time federal leadership controls.there thing herd immunity.over 5o people died australia saturday covid,50 people.what happened dialogue this.most people unaware long health impacts multiple infects butler mp"
161,1541224969128099841,2022-06-27 01:00:41+00:00,UK,"sir patrick vallance , bbc radio 4 , today programme , march 13th , 2020 , ten days first uk aim try reduce peak , broaden peak , suppress completely ... build kind herd immunity. ' still sacked."
162,1541195650414821376,2022-06-26 23:04:11+00:00,"kanamaluka, plague island",#politas data offered mark veitch support claim herd ability reduce case numbers community. would like see data ?
163,1541183365935616000,2022-06-26 22:15:22+00:00,England,"simple really japan 9.23 million cases 31113 deaths suppression zero strategy uk 22.7 million cases 180,000 deaths insane herd strategy ! ! 28 day stat proud insane"
164,1541151694238765056,2022-06-26 20:09:31+00:00,Nutbush City Limits,"regarding herd way thinking , know three , unrelated people collateral damage. , valued , loved people ."
165,1541128117032468482,2022-06-26 18:35:50+00:00,NYC,' still doubt democrats read doozy start demanding actual #publictrials november. cannot let fools get away ' done us.
166,1541127630178631680,2022-06-26 18:33:54+00:00,All over the place!,"' afraid sweden denial since feb 2020. told nothing , ' flu far nothing , herd would july 2020 let spread , #gbd like. hand washing wringing 24 7. masks. ' airborne !"
167,1541124801905016832,2022-06-26 18:22:40+00:00,,' lawyer ' told charges misconduct public office could brought late response herd project ppe scandal take pick went #carehomescandal basis public support
168,1541113854444589056,2022-06-26 17:39:10+00:00,,would self spreading vaccines help us reach herd faster ? would open pandora box ? california bill allows kids jab w parent consent self spreading vaccines move forward
169,1541105762079891456,2022-06-26 17:07:00+00:00,Boise ,"kushner hired atlas adviser knew hiring would go well government ' public health experts. result , atlas told continue working remotely california hiring wrong medical expert derailed us"
170,1541090015740141568,2022-06-26 16:04:26+00:00,"Professor, Rice U., Houston",hiring wrong medical expert derailed us response
171,1541083894136524800,2022-06-26 15:40:06+00:00,"Wyoming, USA",places appears wrong gym leader acquired herd fell love malakas
172,1541061103048085505,2022-06-26 14:09:33+00:00,Sol III,hiring wrong medical expert derailed us response #smartnews atlas ' hiring white house expected controversial initially instructed hide staff id actual government public health experts.
173,1541061057678024705,2022-06-26 14:09:22+00:00,Virgo Supercluster,hiring wrong medical expert derailed us response #smartnews atlas ' hiring white house expected controversial initially instructed hide staff id actual government public health experts.
174,1541061016829759489,2022-06-26 14:09:12+00:00,Virgo Supercluster,hiring wrong medical expert derailed us response #smartnews atlas ' hiring white house expected controversial initially instructed hide staff id actual government public health experts.
175,1541060979626221568,2022-06-26 14:09:03+00:00,Virgo Supercluster. ,hiring wrong medical expert derailed us response #smartnews atlas ' hiring white house expected controversial initially instructed hide staff id actual government public health experts.
176,1541057306921938944,2022-06-26 13:54:28+00:00,Australia,"seems like problem yet ' going remove masks places like airports everywhere else apparently. ' seem like ' , ' another wave. ' almost like ' get herd fast evolving virus."
177,1541041453802983424,2022-06-26 12:51:28+00:00,United States,hiring wrong medical expert derailed us response
178,1541028077630881794,2022-06-26 11:58:19+00:00,"ZAR Zuid Afrika, South Africa",country achieved called herd ?
179,1541018206999117824,2022-06-26 11:19:05+00:00,Houston Texas,hiring wrong medical expert derailed us response
180,1541016996350988292,2022-06-26 11:14:17+00:00,Vancouver/Aguascalientes/Paris,"fact repeated reinfections , newer stronger rougher variants even triple vaccinated people experience mild symptoms seems good assurance herd strategy definitely going work ."
181,1541002731531411457,2022-06-26 10:17:36+00:00,Sussex UK,"3rd wave 2022 hospitalisation ages rising , herd myth gone awol critical issue."
182,1541002458582990848,2022-06-26 10:16:31+00:00,"Chicago, IL",.gov report !
